Column1;Column2;Column3;Column4;Column5;Column6
ARF Brumado;Rua Joana Angélica, nº 276;Centro;Brumado;BA;46100-000
ARF Brusque;Rua Rodrigues Alves, nº 130;Centro;Brusque;SC;88350-160
ARF Cabo de Santo Agostinho;Rua Manoel Queiróz da Silva, nº 223;Centro;Cabo de S. Agostinho;PE;54525-180
ARF Caçador;Avenida Santa Catarina, nº 248;Centro;Caçador;SC;89500-000
ARF Cachoeiro do Itapemirim;Rua João Mota, nº 18;Ferroviário;Cach. do Itapemirim;ES;29230-810
ARF Cajazeiras;Rua Bonifácio Moura, nº 85;Centro;Cajazeiras;PB;58.900-00
ARF Caldas Novas;Rua Pedro Branco de Souza, nº 203;Centro;Caldas Novas;GO;75690-000
ARF Camocim;Rua Santos Dumont, nº 1588;Centro;Camocim;CE;62400-000
ARF Campo Belo;Avenida Afonso Pena, nº 1041;Centro;Campo Belo;MG;37270-000
ARF Campo Mourão;Rua Santa Catarina, nº 1682, Esq. Av. José C Oliv;Centro;Campo Mourão;PR;87300-410
ARF Campos do Jordão;Rua Brigadeiro Jordão, nº 622;Abernéssia;Campos do Jordão;SP;12460-000
ARF Campos do Jordão;Rua Brigadeiro Jordão, nº 622;Abernéssia;Campos do Jordão;SP;12460-000
ARF Canoinhas;Rua Frei Menandro Kamps, nº 405;Centro;Canoinhas;SC;89460-000
ARF Capanema;AVENIDA BARÃO DE CAPANEMA, nº 979;CENTRO;CAPANEMA;PA;68703-000
ARF Caracaraí;Av. Av Dr. Zany, nº 1213;Centro;Caracaraí;RR;69360-000
ARF Caratinga;Rua João Pinheiro, nº 46;Centro;Caratinga;MG;35300-037
ARF Carolina;Rua Aníbal Mascarenhas, nº 67;Centro;Carolina;MA;65980-000
ARF Castanhal;Avenida Presidente Getúlio Vargas, nº 2443;Centro;Castanhal;PA;68740-005
ARF Cataguases;Rua Major Vieira, nº 300, Loja 18 a 21;Centro;Cataguases;MG;36770-060
ARF Catalão;Avenida João XXIII, nº 12;Centro;Catalão;GO;75701-485
ARF Catanduva;Rua Brasil, nº 1816;Centro;Catanduva;SP;15800-030
ARF Caucaia;Rua Pedro Gomes da Rocha, nº 261;Centro;Caucaia;CE;61600-120
ARF Caxias;Rua Aarão Reis, nº 809;Centro;Caxias;MA;65606-020
ARF Ceres;Rua Alfredo de Pádua, nº 29;Centro;Ceres;GO;76300-000
ARF Chapadinha;RUA Rua Cunha Machado, nº 1095, .;Centro;Chapadinha;MA;65500-000
ARF Chapecó;Rua Uruguai, nº 373, E;Centro;Chapecó;SC;89801-571
ARF Cianorte;Avenida Santa Catarina, nº 383;Centro;Cianorte;PR;87200-000
ARF Codó;Avenida Augusto Teixeira, nº 2148;Centro;Codó;MA;65400-000
ARF Colatina;Av Angelo Giubert, nº 273;Vila Nova;Colatina;ES;29702-060
ARF Colombo;Rua dos Eucalíptos, nº 140;Maracanã;Colombo;PR;83408-485
ARF Concórdia;Rua Santa Catarina, nº 83;Centro;Concórdia;SC;89700-000
ARF Conselheiro Lafaiete;Rua José Nicolau de Queiroz, nº 189;Centro;Conselheiro Lafaiete;MG;36400-000
ARF Cornélio Procópio;Avenida 15 de Novembro, nº 313;Centro;Cornélio Procópio;PR;86300-000
ARF Corumbá;RUA CUIABA, nº 581;CENTRO;CORUMBA;MS;79302-907
ARF Cotia;Avenida Professor Manoel José Pedroso, nº 1326;Parque Bahia;Cotia;SP;06717-100
ARF Crateús;Rua Santos Dumont, nº 235;Centro;Crateús;CE;63700-000
ARF Crato;Avenida Perimetral D. Francisco, nº 79;Sâo Miguel;Crato;CE;63101-095
ARF Criciúma;Rua Desembargador Pedro Silva, nº 180;Centro;Criciúma;SC;88802-186
ARF Cruz das Almas;Rua J.B. da Fonseca, nº 63;Centro;Cruz das Almas;BA;44380-000
ARF Cruzeiro;Rua Dr. Celestino, nº 1269;Vila Canevari;Cruzeiro;SP;12710-260
ARF Curvelo;Rua Pacífico Mascarenhas, nº 365;Centro;Curvelo;MG;35790-000
ARF Diadema;Rua das Pérolas, nº 31;Jardim Donini;Diadema;SP;09920-490
ARF Diamantina;Rua do Carmo, nº 99;Centro;Diamantina;MG;39100-000
ARF Diamantino;Rua Marechal Rondon, nº 59;Centro;Diamantino;MT;78400-000
ARF Dianópolis;Praça da Capelinha, nº 601, terreo;Centro;Dianópolis;TO;77300-000
ARF Dracena;Avenida Washington Luiz, nº 653;Jardim Metrópole;Dracena;SP;17900-000
ARF Estância;Avenida Lourival Batista, nº 175, Casa;Centro;Estância;SE;49200-000
ARF Euclides da Cunha;Rua Castro Alves, nº 59, 1º andar;Centro;Euclides da Cunha;BA;48500-000
ARF Eunápolis;Avenida Conselheiro Luis Viana,, nº 207;Centro;Eunápolis;BA;45820-131
ARF Fernandópolis;Av. Eurípedes José Ferreira, nº 910;Aparecida;Fernandópolis;SP;15600-000
ARF Formiga;Av Dr. Henrique Braga, nº 90;Centro;Formiga;MG;35570-000
ARF Formosa;Rua Olimpio Jacinto, nº 615;Centro;Formosa;GO;73801-400
ARF Francisco Beltrão;Rua Octaviano Teixeira dos Santos, nº 1111;Centro;Francisco Beltrão;PR;85601-030
ARF Franco da Rocha;Avenida Liberdade, nº 377;Centro;Franco da Rocha;SP;07850-325
ARF Frutal;Rua São Sebastião, nº 826;Centro;Frutal;MG;38200-000
ARF Garanhuns;Rua Melo Peixoto, nº 154;Santo Antônio;Garanhuns;PE;55293-190
ARF Goiana;Rua do Rosário, s/n-Oitão da Matriz;Centro;Goiana;PE;55900-000
ARF Goiás;Praça Tiradentes, nº 5;Centro;Goiás;GO;76600-000
ARF Guanambi;Praça Gercino Coelho, nº 6;Centro;Guanambi;BA;46430-000
ARF Guarabira;RUA PADRE INÁCIO DE ALMEIDA, nº 618;CENTRO;GUARABIRA;PB;58200-000
ARF Guarapuava;Rua Vicente Machado, nº 1272;Centro;Guarapuava;PR;85010-26
ARF Guaratinguetá;AVENIDA JOÃO PESSOA, nº 546;PEDREGULHO;GUARATINGUETA;SP;12515-010
ARF Guarujá;Avenida Adhemar de Barros, nº 230, Térreo;Santo Antônio;Guarujá;SP;11430-000
ARF Guaxupé;Avenida Dona Floriana, nº 1522;Centro;Guaxupé;MG;37800-000
ARF Gurupi;Avenida Maranhão, nº 1430;Centro;Gurupi;TO;77410-020
ARF Humaitá;Rua 5 de Setembro, nº 997;Centro;Humaitá;AM;69800-000
ARF Ibaiti;Rua Paraná, nº 10;Centro;Ibaiti;PR;84900-000
ARF Ibitinga;Rua Dr. Teixeira, nº 371;Centro;Ibitinga;SP;14940-000
ARF Ibotirama;Rua Otávio Mangabeira, nº 250;Centro;Ibotirama;BA;47520-000
ARF Icó;Avenida Josefa Nogueira Monteiro, nº 1668;Centro;Icó;CE;63430-000
ARF Iguatu;Rua 13 de Maio, nº 687;Centro;Iguatu;CE;63500-000
ARF Indaiatuba;Rua Padre Bento Pacheco, nº 1323;Centro;Indaiatuba;SP;13330-020
ARF Ipiaú;Rua Sete de Setembro, nº 61;Centro;Ipiaú;BA;45570-000
ARF Iporã;Avenida 31 de Março, nº 822;Centro;Iporã;PR;87560-000
ARF Ipu;Avenida Auton Aragão, nº 1678;Canudos;Ipu;CE;62250-000
ARF Irati;Rua Alfredo Bufren, nº 582;Centro;Irati;PR;84500-000
ARF Irecê;Avenida Caraíbas, nº 195, terreo;Centro;IRECÊ;BA;44900-000
ARF Itabaiana;Praça Epitácio Pessoa, nº 28;Centro;Itabaiana;PB;58360-000
ARF Itabaiana;Avenida Luiz Magalhães, nº 1255;Centro;Itabaiana;SE;49500-000
ARF Itaberaba;Praça Rua Flávio Silvany nº 68, nº 68, Prédio;Centro;Itaberaba;BA;46880-000
ARF Itabira;Avenida MAURO RIBEIRO LAGE, nº 190, LJ 04;ESPLANADA DA ESTAÇÃO;ITABIRA;MG;35900-560
ARF Itaituba;Avenida Marechal Rondom, s/n;Centro;Itaituba;PA;68181-000
ARF Itajubá;Rua Francisco Masseli, nº 370;Centro;Itajubá;MG;37500-011
ARF Itamaraju;Praça Nações Unidas, nº 27;Centro;Itamaraju;BA;45836-000
ARF Itanhaém;Praça Dr. Carlos Botelho, nº 221;Centro;Itanhaém;SP;11740-000
ARF Itapetinga;Rua José Bonifácio, nº 77, terreo;Centro;Itapetinga;BA;45700-000
ARF Itapetininga;Rua Dom Joaquim, nº 515;Centro;Itapetininga;SP;18200-090
ARF Itapeva;Rua Martinho Carneiro, nº 64;Centro;Itapeva;SP;18400-460
ARF Itapipoca;Rua Eubia Barroso, nº 2800;Centro;Itapipoca;CE;62500-000
ARF Itaúna;Avenida Getulio Vargas, nº 570;Centro;Itaúna;MG;35680-037
ARF Itu;Praça Guanabara, nº 156;Brasil;Itu;SP;13301-910
ARF Ituiutaba;Rua 22, nº 1050;Centro;Ituiutaba;MG;38300-076
ARF Itumbiara;Avenida Trindade, nº 898, esq com Rua Uberaba;Social;Itumbiara;GO;75503-530
ARF Ivaiporã;Avenida Paraná, nº 1425;Centro;Ivaiporã;PR;86870-000
ARF Jaboatão dos Guararapes;Avenida Ulisses Montarroyos, nº 2880;Piedade;J. dos Guararapes;PE;54400-620
ARF Jaboticabal;Rua Barão do Rio Branco, nº 823;Centro;Jaboticabal;SP;14870-330
ARF Jacareí;Rua General Carneiro, nº 218;Centro;Jacareí;SP;12308-061
ARF Jacarezinho;Avenida Manoel Ribas, nº 215;Centro;Jacarezinho;PR;86400-000
ARF Jacobina;Rua Dr. José J. Almeida Gouveia, nº 45;Missão;Jacobina;BA;44700-000
ARF Jales;Rua Seis, nº 2410;Centro;Jales;SP;15700-062
ARF Janaúba;Avenida Maurício Augusto de Azevedo, nº 243;Centro;Janaúba;MG;39440-000
ARF Jandaia do Sul;Rua José Maria de Paula Rodrigues, nº 300;Centro;Jandaia do Sul;PR;86900-000
ARF Jaraguá do Sul;Rua Expedicionário Gumercindo da Silva, nº 90, térreo;Centro;Jaraguá do Sul;SC;89252-000
ARF Jardim;Avenida Duque de Caxias, nº 467;Centro;Jardim;MS;79240-000
ARF Jataí;Rua Dorival de Carvalho, nº 1120, Pça. Ten. Diomar Men;Centro;Jatai;GO;75800-013
ARF Jaú;Rua Rui Barbosa, nº 157;Centro;Jaú;SP;17210-000
ARF Jequié;Praça Rui Barbosa, nº 18;Centro;Jequié;BA;45200-250
ARF João Monlevade;Rua Lucinda Soares da Fonseca, nº 36;JK;João Monlevade;MG;35930-692
ARF Juazeiro;Praça da Bandeira, nº 48;Centro;Juazeiro;BA;48903-490
ARF Lagarto;Praça José Rodrigues dos Santos, nº 97;Centro;Lagarto;SE;49400-000
ARF Laranjeiras do Sul;Avenida Santos Dumont, nº 2341;Centro;Laranjeiras do Sul;PR;85301-040
ARF Lavras;Rua Misseno de Pádua, nº 831;Centro;Lavras;MG;37200-000
ARF Lençóis Paulista;Rua Anita Garibaldi, nº 821;Centro;Lençóis Paulista;SP;18682-043
ARF Limoeiro;AV. VIGÁRIO JOAQUIM PINTO, nº 643;CENTRO;LIMOEIRO;PE;55700-000
ARF Linhares;Avenida Gov. Jones dos Santos Neves, nº 625;Centro;Linhares;ES;29900-030
ARF Lins;Avenida Nicolau Zarvos, nº 424;Vila Célia;Lins;SP;16401-300
ARF Loanda;Rua Governador Munhoz da Rocha, nº 839;Centro;Loanda;PR;87900-000
ARF Luziania;Rua Senador Herculano Área Especial, nº 6;Setor Aeroporto;Luziania;GO;72801-100
ARF Macaúbas;Rua 15 de Novembro, nº 226;Centro;Macaúbas;BA;46500-000
ARF Mafra;Avenida Prefeito Frederico Heyse, nº 74, Sala 1;Centro;Mafra;SC;89300-000
ARF Manacapuru;Estrada Manoel Urbano, nº 1211;Terra Preta;Manacapuru;AM;69400-000
ARF Manhuaçu;Rua Amaral Franco, nº 20, Sala 1 S;Centro;Manhuaçu;MG;36900-000
ARF Maranguape;Rua Coronel Antônio Botelho de Sousa, nº 31;Centro;Maranguape;CE;61940-000
ARF Marechal Cândido Rondon;Rua Pastor Meyer, nº 733;Centro;Mal. Cândido Rondon;PR;85960-000
ARF Mauá;Rua Manoel Pedro Júnior, nº 62, Térreo;Vila Bocaina;Mauá;SP;09310-720
ARF Maués;Avenida Eduardo Ribeiro, nº 223;Centro;Maués;AM;69190-00
ARF Medianeira;Avenida Pedro Soccol, nº 581;Centro;Medianeira;PR;85884-000
ARF Miracema do Tocantins;Avenida Dr. Francisco Aires, nº 498, com Rua Maranhão;Setor Santos Dumont;M. do Tocantins;TO;77650-000
ARF Mirassol DOeste;Rua Antônio Tavares, nº 3276;Centro;Mirassol D'Oeste;MT;78280-000
ARF Mogi das Cruzes;Rua Antonio Cândido Vieira,, nº 272;Centro;Mogi das Cruzes;SP;08710-200
ARF Mogi Guaçu;Avenida Nove de Abril, nº 402;Centro;Mogi Guaçu;SP;13840-056
ARF Muriaé;Avenida Juscelino Kubtschek, nº 631;Centro;Muriaé;MG;36880-000
ARF Naviraí;Avenida Campo Grande, nº 328;Centro;Naviraí;MS;79950-000
ARF Nossa Senhora das Dores;Praça Desembargador Aloísio de Abreu Lima, nº 196;Centro;Nossa Sra das Dores;SE;49600-000
ARF Nova Andradina;Rua Walter Hubacher, nº 1459;Centro;Nova Andradina;MS;79750-000
ARF Olímpia;Rua Marechal Deodoro, nº 1358;Centro;Olímpia;SP;15400-000
ARF Oliveira;Praça Mãe dos Homens, nº 71;Centro;Oliveira;MG;35540-000
ARF Oriximiná;Travessa Carlos Maria Teixeira, nº 225;Centro;Oriximiná;PA;68270-000
ARF Ouricuri;Avenida Almir Mascarenhas, nº 125;Centro;Ouricuri;PE;56200-00
ARF Ourinhos;Rua Arlindo Luz, nº 244, Térreo;Centro;Ourinhos;SP;19900-010
ARF Ouro Preto;Largo do Rosário, nº 99;Rosário;Ouro Preto;MG;35400-000
ARF Palmares;Rua da conceição, nº 1270, 1º Andar;Centro;Palmares;PE;55540-000
ARF Palmeira dos Índios;Rua Conselheiro Sebastião Lima, nº 704;Paraíso;Palmeira dos Índios;AL;57602-080
ARF Pará de Minas;Rua Benedito Valadares, nº 536, Sala 2;Centro;Pará de Minas;MG;35660-630
ARF Paracatu;Rua José Pereira Guimarães, nº 43;Centro;Paracatu;MG;38600-000
ARF Paragominas;Avenida Costa e Silva, nº 429;Centro;Paragominas;PA;68625-04
ARF Paraíso do Tocantins;Rua Antônio Alencar Leão, nº 207;Bela Vista;Paraíso do Tocantins;TO;77600-000
ARF Paranaíba;Rua Generoso Ponce, nº 1935;Centro;Paranaíba;MS;79500-000
ARF Paranavaí;Avenida Heitor Alencar Furtado, nº 4047;Jd. Paraiso;Paranavaí;PR;87708-000
ARF Parintins;Rua Governador Leopoldo Neves, nº 774;Centro;Parintins;AM;69151-460
ARF Passos;Rua Olegário Maciel, nº 501, Loja;Centro;Passos;MG;37900-800
ARF Pato Branco;Rua Aimoré, nº 389;Centro;Pato Branco;PR;85505-170
ARF Patos;Rua Rui Barbosa, nº 297;Jardim Pedro Firmino;Patos;PB;58700-97
ARF Patos de Minas;Rua Olegário Maciel, nº 30;Centro;Patos de Minas;MG;38700-122
ARF Patrocínio;Rua Presidente Vargas, nº 1160;Centro;Patrocínio;MG;38740-000
ARF Paulista;Praça João Pessoa, nº 25, 1º Andar;Centro;Paulista;PE;53401-340
ARF Paulo Afonso;Rua Rua Amâncio Pereira, nº 268, Térreo;Centro;Paulo Afonso;BA;48602-110
ARF Pedreiras;Rua Ciro Rego, nº 51, A;Centro;Pedreiras;MA;65725-000
ARF Pedro Leopoldo;Avenida José Pires de Araújo, nº 345;Centro;Pedro Leopoldo;MG;33600-000
ARF Penápolis;Avenida Bento da Cruz, nº 294;Centro;Penápolis;SP;16300-000
ARF Penedo;Avenida Floriano Peixoto, nº 28;Histórico;Penedo;AL;57200-000
ARF Pereira Barreto;Rua Dermival Franceschi, nº 1536;Centro;Pereira Barreto;SP;15370-000
ARF Pindamonhangaba;Avenida Albuquerque Lins, nº 244;Campo Alegre;Pindamonhangaba;SP;12410-030
ARF Pinheiro;Rua José Anastácio, nº 460;Centro;Pinheiro;MA;65200-000
ARF Piraju;Avenida Dr. Domingos Theodoro Gallo, nº 419;Centro;Piraju;SP;18800-000
ARF Pirapora;Rua Tiradentes, nº 134;Centro;Pirapora;MG;39270-000
ARF Pirassununga;Rua 15 de Novembro, nº 1032;Centro;Pirassununga;SP;13630-140
ARF Ponta Porã;Avenida Internacional, nº 860, Agência;Centro;Ponta Porã;MS;79990-000
ARF Ponte Nova;Avenida Francisco Vieira Martins, nº 400;Palmeiras;Ponte Nova;MG;35430-225
ARF Porto Ferreira;Rua Francisco Prado, nº 1515;Centro;Porto Ferreira;SP;13660-000
ARF Pouso Alegre;Rua Jaci Laraia Vieira, nº 370;Santa Lúcia;Pouso Alegre;MG;37550-000
ARF Praia Grande - SP;Avenida Presidente Costa e Silva, nº 794;Boqueirão;Praia Grande;SP;11700-005
ARF Presidente Dutra;Rua Hamilton Sereno, nº 10;;Presidente Dutra;MA;65760-000
ARF Presidente Venceslau;Rua Duque de Caxias, nº 368;Centro;Presidente Venceslau;SP;19400-000
ARF Propriá;Avenida João Barbosa Porto;Bela Vista;Propriá;SE;49900-000
ARF Quixadá;Rua Rui Brabosa , nº 559;Centro;Quixadá;CE;63900-000
ARF Quixeramobim;Rua Monsenhor Salviano Pinto, nº 165;Centro;Quixeramobim;CE;63800-000
ARF Redenção;Rua Ademar Guimarães, nº 15, Setor;Centro;Redenção;PA;68552-390
ARF Registro;Avenida Prefeito Jonas Banks Leite, nº 1095;Centro;Registro;SP;11900-000
ARF Ribeira do Pombal;AVENIDA DR OLIVEIRA BRITO, nº 304;CENTRO;RIBEIRA DO POMBAL;BA;48400-000
ARF Rio Claro;Avenida 40, nº 456;Vila Operária;Rio Claro;SP;13504-140
ARF Rio do Sul;Rua Carlos Gomes, nº 132;Centro;Rio do Sul;SC;89160-000
ARF Rio Verde;Praça 5 de Agosto, nº 649;Centro;Rio Verde;GO;75901-260
ARF Rio Verde de Mato Grosso;Avenida Barão do Rio Branco, nº 571;Centro;Rio V. de M. Grosso;MS;79480-000
ARF Rondonópolis;Avenida Lions Internacional, nº 732;Vila Aurora I;Rondonópolis;MT;78740-046
ARF Russas;Avenida Dom Lino, nº 128;Centro;Russas;CE;62900-000
ARF Santa Inês;Avenida Alexandre Costa, nº 90, a;centro;Santa Ines;MA;65300-000
ARF Santa Maria da Vitória;Praça Governador Luiz Vianna Filho, nº 63;Centro;Sta Maria da Vitória;BA;47640-000
ARF Santa Rita;Avenida Virgínio Veloso Borges, nº 252;Alto do Eucalípto;Santa Rita;PB;58300-270
ARF Santana de Ipanema;Praça Coronel Manoel Rodrigues da Rocha, nº 12;Centro;Santana de Ipanema;AL;57500-000
ARF Santo Amaro;Praça da Purificação, nº 30;Centro;Santo Amaro;BA;44200-000
ARF Santo Antônio de Jesus;Rua Roberto Santos / Itaguari Shopping, nº 96, 2º piso, lj. 208/210;Centro;S. Antônio de Jesus;BA;44572-060
ARF São Bento do Sul;Rua Marechal Deodoro, nº 311;Centro;São Bento do Sul;SC;89280-133
ARF São Caetano do Sul;Rua Manoel Coelho, nº 651;Centro;São Caetano do Sul;SP;09510-111
ARF São Carlos;Avenida São Carlos, nº 991;Centro;São Carlos;SP;13560-010
ARF São Gabriel da Cachoeira;Avenida Álvaro Maia, nº 308;Centro;São G. da Cachoeira;AM;69750-00
ARF São João da Boa Vista;Rua Benedito Araújo, nº 170;Centro;São J. da Boa Vista;SP;13870-090
ARF São João Del Rei;Avenida Hermilio Alves, nº 112;Centro;São João Del Rei;MG;36307-328
ARF São Joaquim da Barra;Rua 15 de Novembro, nº 866;Centro;São Joaquim da Barra;SP;14600-000
ARF São José;Avenida Lédio João Martins, nº 992;Kobrasol;São José;SC;88101-101
ARF São José do Rio Pardo;Rua Marechal Floriano, nº 368;Centro;São J. do Rio Pardo;SP;13720-000
ARF São José dos Pinhais;Rua Voluntários da Pátria, nº 365;Centro;São José dos Pinhais;PR;83005-020
ARF São Lourenço;Rua dos Andradas, nº 92;Nossa Sra de Fátima;São Lourenço;MG;37470-000
ARF São Luiz de Montes Belos;Avenida Hermórgenes Coelho, nº 1822;Centro;S. Luiz de M. Belos;GO;76100-000
ARF São Mateus;Rua Dr Arlindo Sodré, nº 1024;Centro;São Mateus;ES;29930-290
ARF São Miguel do Guamá;Avenida Lauro Sodré, nº 183;Centro;São Miguel do Guamá;PA;68660-000
ARF São Miguel dos Campos;Travessa José Calazans, nº 389;Centro;São M. dos Campos;AL;57240-000
ARF São Roque;Avenida Antonino Dias Bastos, nº 757, /761;Centro;São Roque;SP;18130-350
ARF São Sebastião do Paraíso;Rua Carlos Mumic, nº 195;Vila Alza;S. S. do Paraíso;MG;37950-000
ARF Seabra;Travessa Cônego João Pedro Alves, nº 10;Centro;Seabra;BA;46900-000
ARF Sena Madureira;Rua Major João Câncio, nº 28;Centro;Sena Madureira;AC;69940-000
ARF Senhor do Bonfim;Praça Dr. José Gonçalves, nº 336;Centro;Senhor do Bonfim;BA;48970-000
ARF Serra;Avenida São José, Centro Comercial Planalto, nº 199, Loja 01;Jardim Limoeiro;Serra;ES;29164-037
ARF Serrinha;Rua 2 de Julho, nº 157;Centro;Serrinha;BA;48700-000
ARF Sinop;Av. das Figueiras, nº 828;Residencial Norte;Sinop;MT;78550-328
ARF Sousa;Rua Eng. Carlos Pires de Sá, nº 11;Centro;Sousa;PB;58800-970
ARF Sumaré;Avenida Brasil, nº 1111;Nova Veneza;Sumaré;SP;13177-310
ARF Suzano;Rua General Francisco Glicério, nº 892;Centro;Suzano;SP;08674-002
ARF Taboão da Serra;Rua João Café Filho, nº 105;Jardim São Miguel;Taboão da Serra;SP;06760-050
ARF Tangará da Serra;Rua José Corsino, nº 203, S;Centro;Tangará da Serra;MT;78300-000
ARF Tatuí;Rua Onze de Agosto, nº 1600;Jardim Santa Emília;Tatuí;SP;18277-000
ARF Tefé;Rua Marechal Hermes, nº 639;Centro;Tefé;AM;69470-000
ARF Teixeira de Freitas;Avenida Presidente Getúlio Vargas, nº 4085;Centro;Teixeira de Freitas;BA;45985-200
ARF Teófilo Otoni;Rua Dr. João Antônio, nº 251, Térreo;Centro;Teófilo Otoni;MG;39800-016
ARF Tietê;Rua Joaquim Tobias do Amaral Germano, nº 95;Vila Santo André;Tietê;SP;18530-000
ARF Timbó;Rua General Osório, nº 311, Sala 5;Centro;Timbó;SC;89120-000
ARF Toledo;Rua Rui Barbosa, nº 2510;Centro;Toledo;PR;85900-040
ARF Três Lagoas;Rua Manoel Pedro de Campos, nº 100;Centro;Três Lagoas;MS;79630-002
ARF Tubarão;Rua Tubalcain Faraco, Edifício Center Park, nº 85, 8º Andar;Centro;Tubarão;SC;88701-150
ARF Tucuruí;CENTRO COMERCIAL CENTRO COMERCIAL - BLOCO S - LOJAS 1 E 2, nº 1;VILA PERMANENTE;TUCURUI;PA;68464-000
ARF Tupã;Avenida Tamoios, nº 1320;Centro;Tupã;SP;17600-005
ARF Ubá;Avenida Raul Soares, nº 47;Centro;Ubá;MG;36500-000
ARF Ubajara;Rua Monsenhor Gonçalo Eufrásio, nº 962;Monte Castelo;Ubajara;CE;62350-000
ARF Ubatuba;RUA DONA MARIA ALVES, nº 548;CENTRO;UBATUBA;SP;11680-000
ARF Umuarama;Avenida Presidente Castelo Branco, nº 4195;Centro;Umuarama;PR;87501-170
